l.nm,25-espolon,27-espolon,5-sm,22-arette,2-pueblo-viejo,3-san-matias,9-tres alegres,26-espolon,15-don-eduardo,24-espolon,7-sm,17-herradura1,11-quiote,10-centenario-plata,b37,26,28,16,17,mh1,mh2,mh3,blanco55,blanco54,28a,b38,n4,n5,n5a,n9,p6a,n7,n12,n8,n11a,n13,n10,n6,p13,p12,p5,p7,p8a,p9,p6,p8,p4
190,3.2116,3.203,3.6397,2.9195,3.0525,3.3867,3.3153,3.7285,3.2477,3.3369,3.0515,2.9666,3.0525,3.0226,6,3.2598,3.0171,2.7517,2.7641,4.5412,6,2.877,3.8761,3.0529,3.0007,6,6,2.6905,2.6675,2.6867,2.7668,3.1364,3.358,3.2478,3.2778,3.2671,3.032,3.2027,2.7196,3.0617,3.462,2.7799,2.6549,2.7642,2.7823,2.7943,3.24
190.5,3.1762,3.3635,3.6022,2.9031,2.9768,3.4582,3.3953,3.5915,3.6349,3.2578,3.0656,3.0516,2.9768,2.9862,6,3.2486,3.024,2.6947,2.7442,3.4243,6,2.8667,3.7738,3.1234,3.1448,6,6,2.6901,2.6907,2.6967,2.753,3.323,3.4695,3.1745,3.2681,3.2039,3.234,3.3451,2.6914,3.0261,3.1483,2.8021,2.6712,2.7132,2.8289,2.796,3.2244
191,3.4055,3.3651,3.6068,3.0664,3.1582,3.4249,3.419,3.5251,3.4064,3.3479,3.1516,3.0246,3.1582,3.1489,6,3.5444,3.0711,2.8062,2.8271,3.7418,6,2.9634,3.7947,3.2502,3.2101,6,6,2.7685,2.7887,2.8016,2.9011,3.4195,3.3157,3.3551,3.1929,3.3179,3.2189,3.4864,2.7999,3.0945,3.4096,2.8445,2.7497,2.8404,2.8651,2.844,3.2973
191.5,3.4892,3.5259,3.653,3.0963,3.2457,3.659,3.7324,3.949,3.5854,3.6103,3.2648,3.2418,3.2457,3.3057,6,3.4367,3.3348,2.9314,2.9743,3.7549,6,3.073,4.262,3.2242,3.3155,6,6,2.9155,2.9254,2.9485,2.9525,3.3569,3.6532,3.4632,3.5392,3.5165,3.3728,3.5159,2.9471,3.3178,3.5826,3.0455,2.8683,2.9597,3.0123,2.9791,3.5084
192,3.6529,3.6597,5.8269,3.2606,3.3173,3.7528,3.6873,4.1493,3.6412,3.5681,3.432,3.2811,3.3173,3.316,6,3.6099,3.3717,3.0252,3.0497,4.0726,6,3.1777,4.1512,3.4977,3.485,6,6,2.9848,2.9796,3.0398,3.0916,3.4993,3.4179,3.5969,3.5181,3.6005,3.5004,3.6569,3.0187,3.2325,3.7862,3.0881,2.9491,3.0914,3.0448,3.0773,3.5941
192.5,3.5995,3.8445,4.0803,3.1616,3.318,3.8359,3.6031,3.9655,3.5225,3.6183,3.4239,3.3196,3.318,3.228,6,3.5168,3.3677,3.0079,3.0364,4.4826,6,3.1439,3.8707,3.4429,3.3706,6,6,2.9542,2.9508,2.9923,3.0389,3.6283,3.551,3.645,3.4942,3.5822,3.4132,3.5093,2.9824,3.4453,3.6005,3.0567,2.9014,3.0492,3.0507,3.0064,3.6103
193,3.532,3.6459,3.6744,3.2228,3.3425,3.5964,3.5799,3.9854,3.8365,3.7569,3.4367,3.2952,3.3425,3.2684,3.9235,3.8816,3.4714,3.0246,3.0368,4.2066,6,3.2146,4.3153,3.4728,3.5135,6,6,2.9332,2.9717,3.0311,3.0058,3.4934,3.531,3.4637,3.4965,3.5322,3.4033,3.4468,3.0128,3.3229,3.4989,3.065,2.9083,2.9847,3.0142,3.0244,3.8468
193.5,3.5043,3.9563,3.6508,3.2312,3.4012,3.5883,3.724,3.9671,3.7787,3.7928,3.3714,3.334,3.4012,3.4325,3.7048,3.7365,3.3629,3.0356,3.0528,3.8096,6,3.1904,4.9515,3.7719,3.4329,6,6,2.9839,3.0197,3.0754,3.0842,3.6618,3.6628,3.5845,3.7068,3.5473,3.5691,3.6156,3.0326,3.5385,3.7089,3.187,2.9877,3.0508,3.1144,3.0746,3.6887
194,3.5682,3.6965,3.9631,3.2776,3.3924,3.7447,3.8396,4.2826,3.7797,3.9112,3.6256,3.4194,3.3924,3.3684,3.1805,3.735,3.4541,3.1209,3.0421,3.8775,6,3.1097,4.1207,3.6297,3.5277,6,6,2.9832,3.0146,3.1021,3.1444,3.6036,3.6069,3.5791,3.6438,3.5731,3.5564,3.6777,3.0311,3.4502,3.8147,3.1504,2.958,3.1203,3.1489,3.111,3.5855
194.5,3.7079,3.774,4.6162,3.3606,3.5643,3.98,3.7997,6,4.2326,3.7186,3.513,3.3821,3.5643,3.3593,2.898,3.8182,3.5104,3.0305,3.0009,4.0535,6,3.1132,5.1202,3.6107,3.5802,6,6,2.8952,2.9616,3.0712,3.1312,3.6376,4.0344,3.63,3.7394,3.6047,3.7943,3.835,2.9782,3.4921,3.7764,3.1452,2.9043,3.0856,3.2202,3.094,3.6844
195,3.6396,3.7176,4.3276,3.3634,3.388,3.8979,3.751,4.3008,3.8781,3.7635,3.4174,3.4065,3.388,3.431,2.5826,3.7121,3.4897,2.9171,2.8274,4.1896,6,2.9186,6,3.5315,3.6427,6,6,2.7464,2.8666,2.9843,3.0588,3.6362,3.7035,3.7799,3.606,3.6832,3.5809,3.7321,2.8991,3.4515,3.6393,3.093,2.7775,3.0309,3.1175,3.0269,3.7979
195.5,3.7182,3.724,4.048,3.366,3.3102,3.915,3.7933,4.9156,4.0399,3.7405,3.4248,3.2501,3.3102,3.4446,2.3247,3.7928,3.5444,2.7367,2.6838,4.2336,6,2.7175,4.1242,3.7325,3.5399,3.8486,3.7541,2.5942,2.7329,2.8758,2.9635,3.6823,3.7104,3.6369,3.667,3.7585,3.5765,3.709,2.7728,3.4523,3.8062,3.0229,2.6386,2.9068,3.0444,2.9329,3.6441
196,3.8015,3.8988,4.0484,3.3187,3.2463,3.8798,3.7028,6,4.0989,3.755,3.3539,3.194,3.2463,3.4095,2.1169,3.8739,3.569,2.5387,2.4973,4.8446,6,2.5373,4.5221,3.6939,3.4507,3.3295,3.3018,2.4238,2.5676,2.7323,2.8679,3.7352,3.7439,3.7701,3.7479,3.7446,3.6769,3.7114,2.6639,3.4011,3.8159,2.9354,2.4784,2.7774,2.9523,2.7827,3.6855
196.5,3.8244,3.9078,4.4091,3.2246,3.1427,3.9271,3.7892,4.3424,4.0203,3.7555,3.2,3.1,3.1427,3.267,1.9581,3.8615,3.6508,2.35,2.3369,4.0492,6,2.3689,6,3.7176,3.4029,3.047,3.0435,2.281,2.4094,2.5804,2.7347,3.6185,3.833,3.6841,3.7779,3.7821,3.7874,3.706,2.5396,3.3207,3.8052,2.7863,2.3164,2.6301,2.8184,2.6357,3.7472
197,3.7406,3.7665,4.1856,3.081,3.0639,3.8248,3.9948,4.3435,3.8779,3.7739,3.074,2.9397,3.0639,3.1173,1.8136,3.8602,3.5591,2.1677,2.1828,4.2631,6,2.2092,4.3888,3.7022,3.2992,2.8322,2.8021,2.1318,2.251,2.4213,2.5946,3.6999,3.7816,3.7726,3.6398,3.7278,3.7446,3.6908,2.4145,3.2187,3.7688,2.6322,2.1619,2.4706,2.6659,2.4792,3.7283
197.5,3.7312,3.8453,4.058,2.9624,2.9499,3.7101,3.8196,4.3552,4.0793,3.8423,2.9614,2.8216,2.9499,2.9851,1.6959,3.7695,3.4571,2.0144,2.0517,4.4994,6,2.0709,4.1193,3.6833,3.126,2.6285,2.6036,2.0095,2.1099,2.2785,2.4665,3.7151,3.8872,3.6083,3.5327,3.6227,3.6671,3.7011,2.2957,3.0777,3.7208,2.4906,2.0308,2.3236,2.512,2.3352,3.7352
198,3.6248,3.9253,3.921,2.7975,2.8687,3.6835,3.7174,4.1213,3.9563,3.6364,2.8206,2.6989,2.8687,2.8467,1.5938,3.7565,3.3951,1.8872,1.9335,4.0128,6,1.9479,4.3106,3.7121,2.9654,2.4589,2.438,1.897,1.9837,2.1462,2.3414,3.5557,3.7161,3.5231,3.4882,3.5655,3.5901,3.5416,2.184,2.9603,3.6539,2.3464,1.9135,2.1866,2.3694,2.1978,3.5246
